merger,error_of_value,error_thermal,error_renewable,error_nsp,error_1_to_2,error_1_to_3,error_2_to_1,error_2_to_3,error_3_to_1,error_3_to_2,rel_error_of_value,rel_error_thermal,rel_error_renewable,rel_error_nsp,rel_error_1_to_2,rel_error_1_to_3,rel_error_2_to_1,rel_error_2_to_3,rel_error_3_to_1,rel_error_3_to_2
"['1', '2', '3', '4+8', '5', '6', '7']",248200.00000166893,11525.00000000652,-11525.000000000698,8.731149137020111e-11,0.0,0.0,73274.99999999022,0.0,-73275.00000000023,61749.999999999476,0.0002701517558955091,0.004901628580897821,-0.009387361464914923,5.551115123125783e-16,0.0,0.0,0.026660568689416242,0.0,-0.08822649017409079,0.1554704237196307
"['1', '2', '3', '4+8', '5', '6+7']",223969942.0000018,-26224.99999999348,-18705.0000000007,44930.00000000012,0.0,0.0,73274.99999999022,0.0,-118205.00000000023,99499.99999999948,0.2437786990278744,-0.011153597356524214,-0.015235626568436578,0.2617590922204772,0.0,0.0,0.026660568689416242,0.0,-0.14232428892566884,0.25051509571017494
"['1', '2', '3', '4+8', '5+6', '7']",313761080.0000026,-51479.99999999348,-11525.000000000698,63005.00000000029,0.0,0.0,73274.99999999022,0.0,-136280.00000000023,124754.99999999948,0.3415113081914396,-0.021894649834659052,-0.009387361464914923,0.3670628000300735,0.0,0.0,0.026660568689416242,0.0,-0.16408742519174435,0.3141006107067629
"['1', '2', '3', '4+8', '5+6+7']",537482822.0000019,-89229.99999999348,-18705.0000000007,107935.00000000017,0.0,0.0,73274.99999999022,0.0,-181210.00000000023,162504.99999999948,0.5850198554634176,-0.037949875772080865,-0.015235626568436578,0.6288218922505494,0.0,0.0,0.026660568689416242,0.0,-0.2181852239433224,0.4091452826973071
"['1', '2', '3', '4+8', '5+7', '6']",398262.00000166893,18705.00000000652,-18705.0000000007,8.731149137020111e-11,0.0,0.0,73274.99999999022,0.0,-73275.00000000023,54569.999999999476,0.0004334858122732044,0.007955311288995515,-0.015235626568436578,5.551115123125783e-16,0.0,0.0,0.026660568689416242,0.0,-0.08822649017409079,0.13739305299401194
"['1', '2', '3+4', '5', '6', '7', '8']",679471.4247794151,32449.48381200619,-32449.483812000602,8.731149137020111e-11,0.0,0.0,12772.1310689901,0.0,-12772.131069000228,-19677.35274300055,0.0007395664725373674,0.013800895209390096,-0.026430805543873337,5.551115123125783e-16,0.0,0.0,0.004647045754692325,0.0,-0.015378236728234018,-0.04954245131392643
"['1', '2', '3+4', '5', '6', '7+8']",69908520.11648154,25747.674754006788,-39629.483812000835,13881.809058000072,0.0,0.0,43820.32201099023,0.0,-57702.13106900046,18072.64725699945,0.07609149662127301,0.010950589020896295,-0.03227907064739499,0.0808744655553102,0.0,0.0,0.015943701193674498,0.0,-0.06947603547981229,0.0455022206766178
"['1', '2', '3+4', '5', '6+7', '8']",224401213.42477942,-5300.51618799381,-39629.4838120006,44930.00000000012,0.0,0.0,12772.1310689901,0.0,-57702.13106900023,18072.64725699945,0.24424811374451605,-0.002254330728031828,-0.03227907064739477,0.2617590922204772,0.0,0.0,0.004647045754692325,0.0,-0.06947603547981207,0.0455022206766178
"['1', '2', '3+4', '5', '6+7+8']",664439858.9502583,-93734.49708099291,-39629.483812000835,133363.98089300015,0.0,0.0,-75661.84982400993,0.0,-57702.13106900058,18072.64725699945,0.7232054576196525,-0.03986565639115125,-0.03227907064739499,0.7769693873461095,0.0,0.0,-0.027529006406026513,0.0,-0.06947603547981251,0.0455022206766178
"['1', '2', '3+4', '5', '6+8', '7']",595210810.2585561,-87032.6880229935,-32449.483812000835,119482.17183500016,0.0,0.0,-106710.04076601053,0.0,-12772.131069000345,-19677.35274300055,0.6478535274709167,-0.03701535020265734,-0.026430805543873337,0.6960949217907998,0.0,0.0,-0.038825661845008685,0.0,-0.015378236728234018,-0.04954245131392643
